Time;RayOriginX;RayOriginY;RayOriginZ;HitPointX;HitPointY;HitPointZ;ObjectHit
11,73559;0,008130698;1,164502;0,2133708;-1,789904;0,6534578;3,633914;EyeInteractableSphere
12,26371;0,1233054;1,159032;0,1995396;1,33988;0,5364423;2,33124;EyeInteractable
12,35465;0,1364702;1,155192;0,1932894;1,750291;0,5476918;2,023454;EyeInteractable
12,39991;0,140057;1,154144;0,192253;1,650815;0,5738861;2,098055;EyeInteractable
12,43183;0,1397978;1,153443;0,1930043;1,422101;0,599344;2,269579;EyeInteractable
12,45898;0,1413895;1,153039;0,1928685;1,434999;0,5853874;2,259907;EyeInteractable
12,48468;0,1423855;1,153782;0,1931272;1,392887;0,61;2,380521;EyeInteractable
12,64012;0,1432614;1,155198;0,1936367;1,381663;0,5383431;2,299905;EyeInteractable
12,66792;0,1427131;1,15498;0,1939737;1,391496;0,5312518;2,292531;EyeInteractable
12,69428;0,1425656;1,155642;0,1939828;1,383335;0,5369957;2,298651;EyeInteractable
12,73195;0,1423872;1,157728;0,1939054;1,374586;0,5628329;2,305212;EyeInteractable
12,74167;0,1420636;1,158691;0,1938167;1,376412;0,5970862;2,303843;EyeInteractable
12,76857;0,1412782;1,160855;0,1939728;1,402925;0,61;2,327985;EyeInteractable
12,8059;0,1390852;1,164742;0,194414;1,475098;0,6943476;2,558574;EyeInteractable
